1 -70.54422604422604
2 -57.83538083538084
3 -54.86855036855037
4 -51.94226044226045
5 -49.32432432432432
6 -49.287469287469285
7 -47.1007371007371
8 -46.42628992628993
9 -45.38697788697789
10 -44.41769041769042
11 -43.36240786240786
12 -43.02579852579852
13 -42.298525798525795
14 -41.891891891891895
15 -41.891891891891895
16 -41.83783783783784
17 -41.83783783783784
18 -41.83783783783784
19 -41.83783783783784
20 -41.83783783783784
21 -41.83783783783784
22 -41.83783783783784
23 -41.83783783783784
24 -41.83783783783784
25 -41.83783783783784
